Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,76.110001,77.940002,73.160004,73.750000,65.541885,79092300
2015-02-01,73.059998,83.769997,73.000000,83.080002,73.833519,86465100
2015-03-01,83.239998,88.809998,81.010002,84.680000,75.574883,139588200
2015-04-01,84.720001,93.419998,82.639999,82.930000,74.013046,116619700
2015-05-01,82.529999,87.180000,82.529999,85.839996,76.610168,53140800
2015-06-01,86.169998,89.379997,82.919998,84.440002,75.656807,79501100
2015-07-01,85.080002,97.269997,84.730003,96.629997,86.578842,84485400
2015-08-01,96.120003,97.300003,76.010002,86.550003,77.547340,92104600
2015-09-01,84.339996,92.070000,81.449997,83.099998,74.748375,92349100
2015-10-01,83.570000,95.739998,82.510002,84.680000,76.169571,125007100
2015-11-01,84.300003,89.150002,78.900002,84.029999,75.584877,98712400
2015-12-01,84.430000,87.050003,81.029999,85.160004,76.939865,87726300
2016-01-01,83.699997,83.769997,76.620003,79.720001,72.024963,114179700
2016-02-01,78.889999,80.709999,71.500000,78.940002,71.320244,94084900
2016-03-01,79.919998,84.580002,78.330002,84.239998,76.465790,72773300
2016-04-01,84.239998,86.839996,78.279999,79.279999,71.963547,95970500
2016-05-01,79.099998,81.919998,75.739998,77.400002,70.257034,100484200
2016-06-01,77.419998,85.089996,77.220001,83.269997,75.933052,115031000
2016-07-01,83.709999,84.970001,78.800003,79.250000,72.267265,104575500
2016-08-01,78.879997,83.879997,78.050003,80.709999,73.598618,89235200
2016-09-01,81.040001,85.080002,78.900002,80.620003,73.851021,95708800
2016-10-01,80.269997,83.339996,76.260002,82.730003,75.783867,87573500
2016-11-01,81.949997,86.260002,77.019997,84.730003,77.615944,107808900
2016-12-01,84.830002,88.000000,82.419998,82.760002,76.160660,76330700
2017-01-01,83.099998,85.260002,80.309998,81.940002,75.406044,88136000
2017-02-01,81.199997,88.000000,80.160004,86.379997,79.491982,69704600
2017-03-01,86.820000,87.230003,82.550003,83.050003,76.773109,73518300
2017-04-01,83.360001,89.690002,80.300003,86.540001,79.999336,82154100
2017-05-01,86.360001,86.870003,80.129997,81.019997,74.896538,85844100
2017-06-01,81.290001,83.500000,75.180000,78.309998,72.712288,140243500
2017-07-01,78.519997,80.959999,76.790001,80.669998,74.903595,107617400
2017-08-01,80.430000,82.239998,79.250000,81.500000,75.674286,100612500
2017-09-01,81.629997,83.889999,76.620003,77.220001,72.055489,134366000
2017-10-01,77.320000,77.500000,63.820000,66.269997,61.837818,207164500
2017-11-01,65.339996,73.830002,65.169998,72.760002,67.893768,159406200
2017-12-01,71.959999,73.959999,69.500000,72.620003,68.155159,120399300
2018-01-01,73.279999,80.680000,70.730003,75.260002,70.632851,127456900
2018-02-01,74.529999,76.349998,66.339996,68.889999,64.654488,106097400
2018-03-01,69.059998,71.180000,64.760002,65.470001,61.806789,122681400
2018-04-01,65.099998,68.150002,61.740002,66.449997,62.731945,117097100
2018-05-01,65.370003,66.230003,61.560001,62.389999,58.899109,103151400
2018-06-01,62.560001,68.870003,59.070000,60.020000,57.008598,190506800
2018-07-01,59.680000,69.529999,59.500000,67.620003,64.227287,180765300
2018-08-01,67.610001,70.949997,65.540001,68.559998,65.120110,124995400
2018-09-01,68.529999,74.570000,67.419998,72.900002,69.682762,90642700
2018-10-01,72.879997,80.250000,69.690002,79.769997,76.249573,168569400
2018-11-01,79.480003,85.309998,78.279999,84.669998,80.933319,118463600
2018-12-01,85.029999,86.309998,64.510002,68.330002,65.667191,155700500
2019-01-01,67.199997,72.879997,66.690002,72.260002,69.444038,110441200
2019-02-01,72.379997,74.940002,69.529999,71.190002,68.415741,93376800
2019-03-01,70.849998,71.180000,59.330002,63.270000,61.176010,151777400
2019-04-01,63.549999,64.110001,52.250000,53.570000,51.797047,201758600
2019-05-01,53.570000,54.330002,49.310001,49.340000,47.707039,111719500
2019-06-01,49.520000,55.189999,49.520000,54.669998,53.307404,122038400
2019-07-01,55.360001,56.950001,53.660000,54.490002,53.131893,93618000
2019-08-01,54.599998,55.770000,49.029999,51.189999,49.914139,103203700
2019-09-01,51.250000,58.099998,50.040001,55.310001,54.425251,99636600
2019-10-01,55.259998,56.810001,51.570000,54.779999,53.903728,103688200
2019-11-01,55.080002,64.500000,55.009998,59.599998,58.646626,163083400
2019-12-01,59.299999,59.919998,56.759998,58.959999,58.449051,88029800
